teleport name is AB, map is 529, coordinates are 1054.94 1055.23 -48.2358, orientation is 0.313367.
teleport name is AnDaroth, map is 530, coordinates are 7939.87 -6484.24 47.8099, orientation is 3.93927.
teleport name is AndilienEstate, map is 530, coordinates are 7012.04 -6814.81 42.0817, orientation is 5.87793.
teleport name is AngerfangEncampment, map is 0, coordinates are -3376.27 -2270.04 53.5307, orientation is 4.14502.
teleport name is AngorFortress, map is 0, coordinates are -6398.46 -3166.67 299.812, orientation is 0.769213.
teleport name is AngoRoshGrounds, map is 530, coordinates are 1046.25 8503.63 20.2232, orientation is 2.63767.
teleport name is AngoRoshStronghold, map is 530, coordinates are 1593.28 8607.12 -32.6589, orientation is 6.1963.
teleport name is AnOwyn, map is 530, coordinates are 6828.47 -7186.99 24.7617, orientation is 4.91465.
teleport name is AnTelas, map is 530, coordinates are 7427.38 -7297.13 93.3437, orientation is 0.18602.
teleport name is ApocryphansRest, map is 0, coordinates are -6925.52 -2506.75 240.744, orientation is 0.795898.
teleport name is AQ20, map is 509, coordinates are -8437.74 1516.91 31.9074, orientation is 2.73319.
teleport name is AQ40, map is 531, coordinates are -8213.48 2016 129.072, orientation is 1.28414.
teleport name is ArathiBasin, map is 529, coordinates are 1017.16 1040.59 -44.9017, orientation is 0.325149.
teleport name is ArathiBasinAlliance, map is 529, coordinates are 1308.68 1306.03 -9.0107, orientation is 3.91285.
teleport name is ArathiBasinHorde, map is 529, coordinates are 686.053 683.165 -12.9149, orientation is 0.816022.
teleport name is ArathiHighlands, map is 0, coordinates are -1508.51 -2732.06 32.4986, orientation is 3.35708.
teleport name is Arca, map is 552, coordinates are -1.23165 0.014346 -0.204293, orientation is 0.00984.
teleport name is Area52, map is 530, coordinates are 3043.33 3681.33 143.065, orientation is 5.07464.
teleport name is AridensCamp, map is 0, coordinates are -10456.7 -2139.85 90.7913, orientation is 6.26152.
teleport name is ArklonisRidge, map is 530, coordinates are 2865.62 3196.4 177.857, orientation is 0.572978.
teleport name is ArklonRuins, map is 530, coordinates are 2779.37 3210.53 149.846, orientation is 3.37686.
teleport name is Ashenvale, map is 1, coordinates are 1928.34 -2165.95 93.7896, orientation is 0.205731.
teleport name is Astranaar, map is 1, coordinates are 2676.19 -422.905 107.123, orientation is 0.648691.
teleport name is AtaMalTerrace, map is 530, coordinates are -3336.2 363.236 120.466, orientation is 0.150953.
teleport name is Auberdine, map is 1, coordinates are 6501.4 481.607 6.27062, orientation is 1.70033.
teleport name is AuchenaiCrypts, map is 530, coordinates are -3362.04 5209.85 -101.05, orientation is 1.60924.
teleport name is AuchenaiGrounds, map is 530, coordinates are -3637.1 5188.61 -19.1186, orientation is 3.39151.
teleport name is Auchindoun, map is 530, coordinates are -3324.49 4943.45 -101.239, orientation is 4.63901.
teleport name is AV, map is 30, coordinates are -215.738 -309.394 6.66761, orientation is 3.07325.
teleport name is Axxarien, map is 530, coordinates are -1512.97 -11378.7 67.4006, orientation is 0.326728.
teleport name is Azshara, map is 1, coordinates are 3341.36 -4603.79 92.5027, orientation is 5.28142.
teleport name is AzsharaCrater, map is 37, coordinates are 128.205 135.136 236.11, orientation is 4.59132.
teleport name is AzurebreezeCoast, map is 530, coordinates are 9620.79 -8043.05 0.475485, orientation is 2.05119.
teleport name is AzurelodeMine, map is 0, coordinates are -902.924 244.914 8.80433, orientation is 5.61973.
teleport name is AzuremystIsle, map is 530, coordinates are -4216.87 -12336.9 4.34247, orientation is 6.02008.
teleport name is AzureWatch, map is 530, coordinates are -4190.85 -12516.5 44.5276, orientation is 1.34225.
teleport name is Badlands, map is 0, coordinates are -6779.2 -3423.64 241.667, orientation is 0.647481.
teleport name is BaelDunDigsite, map is 1, coordinates are -1942.74 413.534 134.205, orientation is 2.53057.
teleport name is BaelDunKeep, map is 1, coordinates are -4091.59 -2329.66 126.129, orientation is 5.15315.
teleport name is BaelModan, map is 1, coordinates are -4134.29 -2192.52 50.7921, orientation is 3.99548.
teleport name is BaliaMahRuins, map is 0, coordinates are -12551.3 -714.58 38.8789, orientation is 5.67092.
teleport name is BallalRuins, map is 0, coordinates are -12019.5 363.339 2.1088, orientation is 5.11095.
teleport name is BalnirFarmstead, map is 0, coordinates are 1996.05 -374.731 35.4522, orientation is 5.19636.
teleport name is BanEthilBarrowDen, map is 1, coordinates are 9863.43 1558.24 1329.33, orientation is 2.35456.
teleport name is BanEthilHollow, map is 1, coordinates are 9952.24 1538.42 1312.13, orientation is 3.28133.
teleport name is BaradinBay, map is 0, coordinates are -2537.88 -1692.24 4.30329, orientation is 0.08867.
teleport name is Barrens, map is 1, coordinates are 48.9976 -2715.55 91.6677, orientation is 0.158612.
teleport name is BashalAran, map is 1, coordinates are 6712.31 -21.5758 42.8535, orientation is 1.15594.
teleport name is BashirLanding, map is 530, coordinates are 3815.16 6110.93 265.862, orientation is 1.15472.
teleport name is BathransHaunt, map is 1, coordinates are 3825.87 -120.149 -0.200964, orientation is 5.18504.
teleport name is BattleRing, map is 0, coordinates are -13210.4 294.518 21.8575, orientation is 4.92246.
teleport name is BayOfStorms, map is 1, coordinates are 3665.57 -6014.97 5.71029, orientation is 5.4152.
teleport name is BearsHead, map is 1, coordinates are 3872.82 -4755.78 268.5, orientation is 3.94022.
teleport name is BeezilsWreck, map is 1, coordinates are -3974.75 -3814.87 37.7727, orientation is 3.30494.
teleport name is BeggarsHaunt, map is 0, coordinates are -10361.1 -1529.87 91.4594, orientation is 5.96075.
teleport name is BerensPeril, map is 0, coordinates are -370.444 897.319 132.97, orientation is 1.03222.
teleport name is BerylCoast, map is 530, coordinates are -2626.6 -12430.8 2.59312, orientation is 3.08502.
teleport name is Bf, map is 542, coordinates are -3.9967 14.6363 -44.8009, orientation is 1.21574.
teleport name is Bfd, map is 48, coordinates are -151.89 106.96 -39.87, orientation is 4.53.
teleport name is BitterReaches, map is 1, coordinates are 4869.55 -7058.97 105.579, orientation is 4.8442.
teleport name is BlackChannelMarsh, map is 0, coordinates are -3528.34 -1339.17 10.2396, orientation is 3.07711.
teleport name is BlackcharCave, map is 0, coordinates are -7270.01 -804.3 295.929, orientation is 2.43188.
teleport name is BlackfathomDeeps, map is 1, coordinates are 4249.99 740.102 -25.671, orientation is 1.34062.
teleport name is BlackhoofVillage, map is 1, coordinates are -2462.03 -3157.79 35.5825, orientation is 4.91817.
teleport name is BlackrockDepths, map is 0, coordinates are -7179.34 -921.212 165.821, orientation is 5.09599.
teleport name is BlackrockMountain, map is 0, coordinates are -7494.94 -1123.49 265.547, orientation is 3.3092.
teleport name is BlackrockPass, map is 0, coordinates are -8520.94 -2559.99 133.334, orientation is 3.27225.
teleport name is BlackrockSpire, map is 0, coordinates are -7527.05 -1226.77 285.732, orientation is 5.29626.
teleport name is BlackrockStronghold, map is 0, coordinates are -7733.43 -1510.24 132.792, orientation is 1.01584.
teleport name is BlacksiltShore, map is 530, coordinates are -2348.01 -11059.3 0.530463, orientation is 2.53917.
teleport name is BlackTemple, map is 530, coordinates are -3649.92 317.469 35.2827, orientation is 2.94285.
teleport name is BlackthornRidge, map is 1, coordinates are -3945.67 -1776.91 91.6706, orientation is 0.595491.
teleport name is BlackwindLake, map is 530, coordinates are -3663.45 3577.09 259.226, orientation is 3.19599.
teleport name is BlackwindValley, map is 530, coordinates are -3636.25 3191.57 312.961, orientation is 4.99533.
teleport name is BlackwingCoven, map is 530, coordinates are 3202.45 7117.62 173.86, orientation is 3.63041.
teleport name is BlackwingLair, map is 229, coordinates are 164.789 -475.305 116.842, orientation is 0.022714.
teleport name is BlackwolfRiver, map is 1, coordinates are 1398.08 179.4 12.3398, orientation is 1.81183.
teleport name is BlackwoodDen, map is 1, coordinates are 4621.7 33.6288 69.6487, orientation is 4.35643.
teleport name is BlackwoodLake, map is 0, coordinates are 2493.53 -4222.79 74.027, orientation is 1.21046.
teleport name is BladedGulch, map is 530, coordinates are 2899.4 5081.33 264.302, orientation is 1.15416.
teleport name is BladefistBay, map is 1, coordinates are 1324.36 -5005.13 0.814836, orientation is 5.04482.
teleport name is BladesEdgeMountains, map is 530, coordinates are 3037.67 5962.86 130.774, orientation is 1.27253.
teleport name is BladespireGrounds, map is 530, coordinates are 2209.1 6376.61 -10.338, orientation is 3.27783.
teleport name is BladespireHold, map is 530, coordinates are 2639.37 6526.93 0.818903, orientation is 6.17248.
teleport name is BladesRun, map is 530, coordinates are 933.847 5948.09 121.211, orientation is 0.641137.
teleport name is BladeToothCanyon, map is 530, coordinates are 1059.17 7087.83 118.027, orientation is 0.112612.
teleport name is Bladewood, map is 530, coordinates are -1772.53 -11581.4 35.9727, orientation is 2.16531.
teleport name is BladspireOutpost, map is 530, coordinates are 2211.66 5712.69 272.876, orientation is 0.564311.
teleport name is BlastedLands, map is 0, coordinates are -11182.5 -3016.67 7.42235, orientation is 4.0004.
teleport name is BleedingHollowRuins, map is 530, coordinates are -3273.56 5988.13 -2.58558, orientation is 1.14452.
teleport name is BleedingZiggurat, map is 530, coordinates are 7171.91 -6397.79 49.1227, orientation is 5.62946.
teleport name is BloodcurseIsle, map is 530, coordinates are -1933.1 -12871.3 85.896, orientation is 5.32971.
teleport name is BloodfenBurrow, map is 1, coordinates are -4324.33 -2671.96 32.864, orientation is 1.86217.
teleport name is BloodhoofVillage, map is 1, coordinates are -2240.91 -399.174 -9.42446, orientation is 2.53353.
teleport name is BloodmaulCamp, map is 530, coordinates are 3526.96 5794.43 1.72332, orientation is 2.48461.
teleport name is BloodmaulOutpost, map is 530, coordinates are 1623.51 6344.2 -2.54653, orientation is 3.86891.
teleport name is BloodmaulRavine, map is 530, coordinates are 1809.28 6411.22 -10.338, orientation is 3.25427.
teleport name is BloodmystIsle, map is 530, coordinates are -1993.62 -11475.8 63.9657, orientation is 5.29437.
teleport name is BloodsailCompound, map is 0, coordinates are -13470 675.488 10.4762, orientation is 4.9884.
teleport name is BloodscaleEnclave, map is 530, coordinates are 360.89 8136.18 23.3585, orientation is 1.1674.
teleport name is BloodscaleGrounds, map is 530, coordinates are 539.523 6226.4 21.2966, orientation is 0.731476.
teleport name is BloodtoothCamp, map is 1, coordinates are 1641.62 -1448.83 147.085, orientation is 2.65133.
teleport name is BloodvenomFalls, map is 1, coordinates are 5282.47 -716.836 346.13, orientation is 0.216695.
teleport name is BloodvenomPost, map is 1, coordinates are 5128.91 -343.506 355.035, orientation is 3.39176.
teleport name is BloodvenomRiver, map is 1, coordinates are 5277.69 -512.571 322.307, orientation is 3.04806.
teleport name is BloodWatch, map is 530, coordinates are -1944.5 -11873.7 49.3983, orientation is 6.04835.
teleport name is Bluefen, map is 1, coordinates are -2825.56 -3112.78 36.0223, orientation is 0.327524.
teleport name is BluegillMarsh, map is 0, coordinates are -3012.77 -1066.97 8.82117, orientation is 0.006195.
teleport name is BogensLedge, map is 0, coordinates are -235.037 -2566.93 118.73, orientation is 1.11813.
teleport name is BohaMuRuins, map is 530, coordinates are -349.384 7253.7 47.4862, orientation is 3.07277.
teleport name is BolgansHole, map is 1, coordinates are -2270.12 2505.58 74.147, orientation is 3.50113.
teleport name is BonechewerRuins, map is 530, coordinates are -2975.06 3481.44 -0.79203, orientation is 5.2333.
teleport name is BootyBay, map is 0, coordinates are -14297.2 530.993 8.77916, orientation is 3.98863.
teleport name is Bota, map is 553, coordinates are 40.0395 -28.613 -1.1189, orientation is 2.35856.
teleport name is BoughShadow, map is 1, coordinates are 3155.52 -3526.2 130.635, orientation is 5.5267.
teleport name is BoulderfistHall, map is 0, coordinates are -1968.97 -2773.94 79.3106, orientation is 4.10542.
teleport name is BoulderfistOuspost, map is 0, coordinates are -1197.66 -2130.17 61.2405, orientation is 1.26105.
teleport name is BoulderfistOutpost, map is 0, coordinates are -1210.81 -2082.89 49.878, orientation is 0.221184.
teleport name is BoulderGor, map is 0, coordinates are -1194.77 -2202.83 53.6903, orientation is 1.52416.
teleport name is BoulderLodeMine, map is 1, coordinates are 1329.13 -3598.07 91.7029, orientation is 3.94133.
teleport name is BoulderMok, map is 530, coordinates are 3588.57 7143.33 140.447, orientation is 1.56718.
teleport name is BoulderslideCavern, map is 1, coordinates are -100.856 251.61 100.892, orientation is 0.777452.
teleport name is BoulderslideRavine, map is 1, coordinates are -69.2305 63.8333 48.9635, orientation is 2.54067.
teleport name is BrackenwallVillage, map is 1, coordinates are -3130.67 -2908.43 34.0976, orientation is 1.42798.
teleport name is BrackwellPumpkinPatch, map is 0, coordinates are -9757.58 -897.584 39.4214, orientation is 5.20747.
teleport name is BramblebladeRavine, map is 1, coordinates are -3029.73 -1058.27 50.5731, orientation is 4.53254.
teleport name is Bramblescar, map is 1, coordinates are -2077.71 -2700.8 93.9102, orientation is 5.72965.
teleport name is BRD, map is 230, coordinates are 458.32 26.52 -70.67, orientation is 4.95.
teleport name is BrewnallVillage, map is 0, coordinates are -5385.04 310.278 394.151, orientation is 5.19649.
teleport name is BrightwaterLake, map is 0, coordinates are 2539.96 -53.7843 28.1068, orientation is 1.0229.
teleport name is BrightwoodGrove, map is 0, coordinates are -10443.9 -830.975 49.7064, orientation is 1.95754.
teleport name is Brill, map is 0, coordinates are 2259.25 290.43 34.1137, orientation is 0.987414.
teleport name is BristlelimbEnclave, map is 530, coordinates are -2534.78 -12296.2 13.9722, orientation is 6.17556.
teleport name is BristlelimbVillage, map is 530, coordinates are -4505.81 -11623.1 11.3414, orientation is 3.04968.
teleport name is BrokenCommons, map is 1, coordinates are -3867.39 1131.48 154.788, orientation is 6.16863.
teleport name is BrokenHill, map is 530, coordinates are -467.983 3471.16 38.2596, orientation is 4.92625.
teleport name is BrokenPillar, map is 1, coordinates are -7997.8 -3891.14 11.7253, orientation is 1.31317.
teleport name is BrokenWilds, map is 530, coordinates are 3507.86 4615.89 216.47, orientation is 0.378958.
teleport name is BronzebeardEncampment, map is 1, coordinates are -8008.65 1107.88 -0.668291, orientation is 3.56178.
teleport name is BrowmanMill, map is 0, coordinates are 2465.15 -5116.14 76.4285, orientation is 5.12016.
teleport name is BT, map is 564, coordinates are 96.4462 1002.35 -86.9984, orientation is 6.26671.
teleport name is BurningBladeCoven, map is 1, coordinates are -171.297 -4362.51 68.0577, orientation is 0.011192.
teleport name is BurningBladeRuins, map is 530, coordinates are -2560.08 6248.7 17.9276, orientation is 1.14689.
teleport name is BurningSteppes, map is 0, coordinates are -8118.54 -1633.83 132.996, orientation is 0.089067.
teleport name is BWL, map is 469, coordinates are -7664.76 -1100.87 399.679, orientation is 0.561981.
teleport name is CaerDarrow, map is 0, coordinates are 1248.8 -2604.13 90.961, orientation is 0.255412.
teleport name is CampAparaje, map is 1, coordinates are -44.6129 -505.122 -46.1274, orientation is 1.84172.
teleport name is CampBoff, map is 0, coordinates are -7022.26 -3609.21 241.879, orientation is 4.08514.
teleport name is CampCagg, map is 0, coordinates are -7166.43 -2390.08 240.945, orientation is 5.77925.
teleport name is CampEThok, map is 1, coordinates are -4619.13 -1234.54 -53.5973, orientation is 3.48882.
teleport name is CampKosh, map is 0, coordinates are -6264.36 -3703.95 244.144, orientation is 4.65455.
teleport name is CampMojache, map is 1, coordinates are -4396.7 224.841 25.4136, orientation is 4.93684.
teleport name is CampNarache, map is 1, coordinates are -2919.35 -264.535 53.6197, orientation is 0.409027.
teleport name is CampOfBoom, map is 530, coordinates are 3216.07 3543.61 124.642, orientation is 5.94353.
teleport name is CampTaurajo, map is 1, coordinates are -2363.11 -1913.78 95.7829, orientation is 0.165556.
teleport name is CampWurg, map is 0, coordinates are -6838.66 -2833.16 241.666, orientation is 1.16111.
teleport name is Canals, map is 0, coordinates are 1650.58 200.023 -62.1773, orientation is 1.41639.
teleport name is CarrionHill, map is 530, coordinates are -2866.74 4738.97 -4.36527, orientation is 0.870223.
teleport name is CathedralOfLight, map is 0, coordinates are -8581.98 807.885 106.518, orientation is 0.688204.
teleport name is CathedralSquare, map is 0, coordinates are -8623.51 778.174 96.6514, orientation is 0.703912.
teleport name is CavernsOfTime, map is 1, coordinates are -8204.88 -4495.25 9.0091, orientation is 4.72574.
teleport name is CelestialRidge, map is 530, coordinates are 4035.83 1435.5 -123.376, orientation is 5.73225.
teleport name is CenarioHold, map is 1, coordinates are -6834 763.39 43.0314, orientation is 4.97156.
teleport name is CenarionEnclave, map is 1, coordinates are 10122.8 2540.84 1321.73, orientation is 0.326671.
teleport name is CenarionHold, map is 1, coordinates are -6818.09 733.814 41.5661, orientation is 2.3082.
teleport name is CenarionPost, map is 530, coordinates are -318.842 4718.99 18.4132, orientation is 6.21599.
teleport name is CenarionRefuge, map is 530, coordinates are -223.541 5487.99 23.2281, orientation is 0.886755.
teleport name is CenarionThicket, map is 530, coordinates are -1816.67 4691.8 10.6813, orientation is 0.383229.
teleport name is ChapelYard, map is 530, coordinates are 2416.41 2171.83 90.9205, orientation is 5.58696.
teleport name is ChillBreezeValley, map is 0, coordinates are -5568.39 94.4882 483.947, orientation is 2.57091.
teleport name is ChillwindCamp, map is 0, coordinates are 967.964 -1443.99 65.0399, orientation is 2.05398.
teleport name is ChillwindPoint, map is 0, coordinates are 262.381 -1437.45 50.1333, orientation is 4.13091.
teleport name is CircleOfBloodArena, map is 530, coordinates are 2839.44 5930.17 11.1002, orientation is 3.16284.
teleport name is CircleOfEastBinding, map is 0, coordinates are -842.406 -3271.57 78.3724, orientation is 0.432116.
teleport name is CircleOfInnerBinding, map is 0, coordinates are -1539.11 -2168.63 17.3715, orientation is 0.578985.
teleport name is CircleOfOuterBinding, map is 0, coordinates are -1354.53 -2737.5 58.9458, orientation is 5.9114.
teleport name is CircleOfWestBinding, map is 0, coordinates are -867.807 -1777.93 40.2461, orientation is 5.60058.
teleport name is CleftOfShadow, map is 1, coordinates are 1836.86 -4397.85 3.58252, orientation is 2.15931.
teleport name is CliffspringFalls, map is 1, coordinates are 6892.58 -659.319 85.6375, orientation is 3.11156.
teleport name is CliffspringRiver, map is 1, coordinates are 7344.08 -398.198 0.822346, orientation is 3.29942.
teleport name is CoilfangReservoir, map is 530, coordinates are 735.066 6883.45 -66.2913, orientation is 5.89172.
teleport name is CoilskarCistern, map is 530, coordinates are -2926.87 1333.17 8.17311, orientation is 4.24367.
teleport name is CoilskarPoint, map is 530, coordinates are -3010.81 1715.21 74.0269, orientation is 6.16004.
teleport name is ColdHearthManor, map is 0, coordinates are 2109.16 603.695 35.2618, orientation is 0.727451.
teleport name is ColdridgeValley, map is 0, coordinates are -6231.77 332.993 383.171, orientation is 0.480178.
teleport name is CorinsCrossing, map is 0, coordinates are 2012.28 -4470.7 73.6229, orientation is 5.15472.
teleport name is CorrahnsDagger, map is 0, coordinates are 34.5932 -549.443 144.423, orientation is 2.68188.
teleport name is Cosmowrench, map is 530, coordinates are 2988.21 1806.9 139.071, orientation is 3.8591.
teleport name is CourtOfTheSun, map is 530, coordinates are 9888.38 -7178.39 31.0292, orientation is 0.854246.
teleport name is CraftmensTerrace, map is 1, coordinates are 10070 2293.83 1329.44, orientation is 5.9784.
teleport name is CragpoolLake, map is 1, coordinates are 1598.52 106.656 22.1495, orientation is 4.00152.
teleport name is CrashSite, map is 530, coordinates are -4042.22 -13779.5 74.8069, orientation is 2.37976.
teleport name is CrimsonWatch, map is 530, coordinates are -4606.39 1359.61 139.903, orientation is 2.40976.
teleport name is CrownGuardTower, map is 0, coordinates are 1864.38 -3675.68 153.909, orientation is 4.56648.
teleport name is CrusadersOutpostScarletMonastery, map is 0, coordinates are 3039.71 -559.263 121.856, orientation is 0.032519.
teleport name is CrusadersOutpost, map is 0, coordinates are 1797.5 689.077 44.7761, orientation is 1.51755.
teleport name is CrushridgeHold, map is 0, coordinates are 684.935 -583.82 163.055, orientation is 3.81442.
teleport name is KarazhanCrypts, map is 0, coordinates are -11069.7 -1795.77 53.7318, orientation is 3.09641.
teleport name is CrystalLake, map is 0, coordinates are -9528.41 -359.942 61.0692, orientation is 5.9536.
teleport name is CrystalSpine, map is 530, coordinates are 4004.78 4989.05 267.544, orientation is 0.940518.
teleport name is CrystalveinMine, map is 0, coordinates are -13304.6 -428.921 14.3756, orientation is 4.78735.
teleport name is CursedHollow, map is 530, coordinates are 2687.72 5597.35 -11.2866, orientation is 4.70098.
teleport name is DabyriesFarmstead, map is 0, coordinates are -1092.24 -2852.42 42.3323, orientation is 4.65476.
teleport name is DaggerfenVillage, map is 530, coordinates are 1175.45 8135.31 18.8313, orientation is 0.846961.
teleport name is DaggermawCanyon, map is 530, coordinates are 3549.35 5684.65 -10.3382, orientation is 5.88067.
teleport name is DalaranCrater, map is 0, coordinates are 319.135 263.953 53.2747, orientation is 1.54976.
teleport name is DalsonsTears , map is 0, coordinates are 1845.91 -1563.5 59.1322, orientation is 5.86316.
teleport name is DandredsFold, map is 0, coordinates are 1180.74 -330.016 43.949, orientation is 0.365731.
teleport name is DarkcloudPinnacle, map is 1, coordinates are -4779.79 -1882.54 90.1741, orientation is 3.77625.
teleport name is DarkcrestEnclave, map is 530, coordinates are -389.634 6364.47 21.7062, orientation is 5.20512.
teleport name is DarkcrestShore, map is 530, coordinates are -589.891 5879.56 21.8492, orientation is 5.17685.
teleport name is DarkmistCavern, map is 1, coordinates are -2819.49 -2770.63 35.1771, orientation is 1.85512.
teleport name is Darkshire, map is 0, coordinates are -10573 -1182.51 28.0148, orientation is 0.309022.
teleport name is Darkshore, map is 1, coordinates are 5756.25 298.505 20.6049, orientation is 5.96504.
teleport name is DarkspearStrand, map is 1, coordinates are -1111.52 -4776.58 4.40189, orientation is 4.11253.
teleport name is DarkwhisperGorge, map is 1, coordinates are 4918.16 -4553.79 857.268, orientation is 3.62056.
teleport name is Darnassus, map is 1, coordinates are 9949.56 2284.21 1341.4, orientation is 1.59587.
teleport name is DarrowHill, map is 0, coordinates are -318.143 -456.173 59.0946, orientation is 0.914737.
teleport name is DarrowmereLake, map is 0, coordinates are 1547.05 -2355.31 61.0999, orientation is 2.91792.
teleport name is DarrowShire, map is 0, coordinates are 1469.48 -3686.9 77.7679, orientation is 3.44337.
teleport name is DawningLane, map is 530, coordinates are 9994.48 -6487.35 1.20902, orientation is 2.43127.
teleport name is DawnstarSpire, map is 530, coordinates are 7828.77 -7846.07 168.986, orientation is 4.5841.
teleport name is DeadeyeShore, map is 1, coordinates are 831.592 -5068.66 4.14613, orientation is 4.95999.
teleport name is DeadmansCrossing, map is 0, coordinates are -10461.4 -1744.82 88.1416, orientation is 5.05985.
teleport name is Deadmines, map is 36, coordinates are -16.4 -383.07 61.78, orientation is 2.52637.
teleport name is DeadwindPass, map is 0, coordinates are -10438.8 -1932.75 104.617, orientation is 4.77402.
teleport name is DeadwindRavine, map is 0, coordinates are -10811.7 -1859.29 114.868, orientation is 4.26659.
teleport name is DeadwoodVillage, map is 1, coordinates are 3560.7 -1123.08 220.487, orientation is 3.14152.
teleport name is DeathforgeTower, map is 530, coordinates are -3472.5 2006.64 96.8434, orientation is 6.22837.
teleport name is Deathknell, map is 0, coordinates are 1843.5 1590 93.2971, orientation is 3.08757.
teleport name is Deathnell, map is 0, coordinates are 1841.39 1591.43 93.4301, orientation is 2.39092.
teleport name is Deatholme, map is 530, coordinates are 6545.51 -6406.76 32.4218, orientation is 2.39547.
teleport name is DeathsDoor, map is 530, coordinates are 2033.17 5415.61 144.698, orientation is 0.117995.
teleport name is DeepElemMine, map is 0, coordinates are 368.992 1100.97 106.238, orientation is 5.00081.
teleport name is DeeprunTram, map is 369, coordinates are 23.0998 9.00932 -4.29664, orientation is 3.18737.
teleport name is DemonFallCanyon, map is 1, coordinates are 1795.06 -3179.68 92.2109, orientation is 3.17443.
teleport name is DemonFallRidge, map is 1, coordinates are 1561.25 -2840.63 182.535, orientation is 2.51311.
teleport name is DemontsPlace, map is 0, coordinates are -11117.5 1797.77 36.5497, orientation is 2.64007.
teleport name is DenOfHaalEsh, map is 530, coordinates are -1089.35 4197.33 16.769, orientation is 3.0523.
teleport name is DerelictCaravan, map is 530, coordinates are -3754.58 4708.83 -17.8536, orientation is 0.692921.
teleport name is Desolace, map is 1, coordinates are -606.395 2211.75 92.9818, orientation is 0.809746.
teleport name is DigOne, map is 0, coordinates are -6123.1 -2955.85 204.97, orientation is 2.93259.
teleport name is DireforgeHill, map is 0, coordinates are -2838.55 -2875.5 32.5915, orientation is 0.253382.
